[runlim] version:		1.10
[runlim] sample:		3475.6 time, 3480.6 real, 29.1 MB
[runlim] sample:		3485.6 time, 3490.6 real, 29.1 MB
[runlim] sample:		3495.6 time, 3500.6 real, 29.1 MB
[runlim] sample:		3505.6 time, 3510.6 real, 29.3 MB
[runlim] sample:		3515.6 time, 3520.6 real, 29.3 MB
[runlim] sample:		3525.5 time, 3530.6 real, 29.3 MB
[runlim] sample:		3535.5 time, 3540.6 real, 29.3 MB
[runlim] sample:		3545.5 time, 3550.6 real, 29.3 MB
[runlim] sample:		3555.5 time, 3560.6 real, 29.3 MB
[runlim] sample:		3565.5 time, 3570.6 real, 29.3 MB
[runlim] sample:		3575.4 time, 3580.6 real, 29.3 MB
[runlim] sample:		3585.4 time, 3590.6 real, 29.6 MB
[runlim] sample:		3595.4 time, 3600.6 real, 29.6 MB
[runlim] sample:		3605.4 time, 3610.6 real, 29.6 MB
[runlim] sample:		3615.4 time, 3620.6 real, 29.6 MB
[runlim] sample:		3625.4 time, 3630.6 real, 29.6 MB
[runlim] sample:		3635.4 time, 3640.6 real, 29.6 MB
[runlim] sample:		3645.3 time, 3650.6 real, 29.6 MB
[runlim] sample:		3655.3 time, 3660.6 real, 29.6 MB
[runlim] sample:		3665.3 time, 3670.6 real, 29.9 MB
[runlim] sample:		3675.3 time, 3680.6 real, 29.9 MB
[runlim] sample:		3685.3 time, 3690.6 real, 29.9 MB
[runlim] sample:		3695.3 time, 3700.6 real, 29.9 MB
[runlim] sample:		3705.2 time, 3710.6 real, 29.9 MB
[runlim] sample:		3715.2 time, 3720.6 real, 29.9 MB
[runlim] sample:		3725.2 time, 3730.6 real, 29.9 MB
[runlim] sample:		3735.2 time, 3740.6 real, 29.9 MB
[runlim] sample:		3745.2 time, 3750.6 real, 30.1 MB
[runlim] sample:		3755.2 time, 3760.6 real, 30.1 MB
[runlim] sample:		3765.1 time, 3770.6 real, 30.1 MB
[runlim] sample:		3775.1 time, 3780.6 real, 30.1 MB
[runlim] sample:		3785.1 time, 3790.6 real, 30.1 MB
[runlim] sample:		3795.1 time, 3800.6 real, 30.1 MB
[runlim] sample:		3805.1 time, 3810.6 real, 30.1 MB
[runlim] sample:		3815.1 time, 3820.6 real, 30.4 MB
[runlim] sample:		3825.1 time, 3830.6 real, 30.4 MB
[runlim] sample:		3835.0 time, 3840.6 real, 30.4 MB
[runlim] sample:		3845.0 time, 3850.6 real, 30.4 MB
[runlim] sample:		3855.0 time, 3860.6 real, 30.4 MB
[runlim] sample:		3865.0 time, 3870.6 real, 30.4 MB
[runlim] sample:		3875.0 time, 3880.6 real, 30.4 MB
[runlim] sample:		3884.9 time, 3890.6 real, 30.4 MB
[runlim] sample:		3894.9 time, 3900.6 real, 30.6 MB
[runlim] sample:		3904.9 time, 3910.6 real, 30.6 MB
[runlim] sample:		3914.9 time, 3920.6 real, 30.6 MB
[runlim] sample:		3924.9 time, 3930.6 real, 30.6 MB
[runlim] sample:		3934.8 time, 3940.6 real, 30.6 MB
[runlim] sample:		3944.8 time, 3950.6 real, 30.6 MB
[runlim] sample:		3954.8 time, 3960.6 real, 30.6 MB
[runlim] sample:		3964.8 time, 3970.6 real, 30.6 MB
[runlim] sample:		3974.8 time, 3980.6 real, 30.6 MB
[runlim] sample:		3984.8 time, 3990.6 real, 30.9 MB
[runlim] sample:		3994.8 time, 4000.6 real, 30.9 MB
[runlim] sample:		4004.7 time, 4010.6 real, 30.9 MB
[runlim] sample:		4014.7 time, 4020.6 real, 30.9 MB
[runlim] sample:		4024.7 time, 4030.6 real, 30.9 MB
[runlim] sample:		4034.7 time, 4040.6 real, 30.9 MB
[runlim] sample:		4044.7 time, 4050.6 real, 30.9 MB
[runlim] sample:		4054.7 time, 4060.6 real, 30.9 MB
[runlim] sample:		4064.6 time, 4070.6 real, 31.2 MB
[runlim] sample:		4074.6 time, 4080.6 real, 31.2 MB
[runlim] sample:		4084.6 time, 4090.6 real, 31.2 MB
[runlim] sample:		4094.6 time, 4100.6 real, 31.2 MB
[runlim] sample:		4104.6 time, 4110.6 real, 31.2 MB
[runlim] sample:		4114.6 time, 4120.6 real, 31.2 MB
[runlim] sample:		4124.5 time, 4130.6 real, 31.2 MB
[runlim] sample:		4134.5 time, 4140.6 real, 31.2 MB
[runlim] sample:		4144.5 time, 4150.6 real, 31.4 MB
[runlim] sample:		4154.5 time, 4160.6 real, 31.4 MB
[runlim] sample:		4164.5 time, 4170.6 real, 31.4 MB
[runlim] sample:		4174.5 time, 4180.6 real, 31.4 MB
[runlim] sample:		4184.4 time, 4190.6 real, 31.4 MB
[runlim] sample:		4194.4 time, 4200.6 real, 31.4 MB
[runlim] sample:		4204.4 time, 4210.6 real, 31.4 MB
[runlim] sample:		4214.4 time, 4220.6 real, 31.4 MB
[runlim] sample:		4224.4 time, 4230.6 real, 31.4 MB
[runlim] sample:		4234.4 time, 4240.6 real, 31.7 MB
[runlim] sample:		4244.4 time, 4250.6 real, 31.7 MB
[runlim] sample:		4254.4 time, 4260.6 real, 31.7 MB
[runlim] sample:		4264.4 time, 4270.6 real, 31.7 MB
[runlim] sample:		4274.4 time, 4280.6 real, 31.7 MB
[runlim] sample:		4284.4 time, 4290.6 real, 31.7 MB
[runlim] sample:		4294.3 time, 4300.6 real, 31.7 MB
[runlim] sample:		4304.3 time, 4310.6 real, 31.7 MB
[runlim] sample:		4314.3 time, 4320.6 real, 31.9 MB
[runlim] sample:		4324.3 time, 4330.6 real, 31.9 MB
[runlim] sample:		4334.3 time, 4340.6 real, 31.9 MB
[runlim] sample:		4344.3 time, 4350.6 real, 31.9 MB
[runlim] sample:		4354.3 time, 4360.6 real, 31.9 MB
[runlim] sample:		4364.3 time, 4370.6 real, 31.9 MB
